Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Brian's White Buttonup LS Shirt,2,1,2,,,,,,,,,,,,,,,,,,,,8/9/20,0,Brian,Secondhand ,,,shirt,long sleeve,cream/white/tan,,Tops
Cream Turtleneck LS Shirt,1,1,,,,1,1,,1,2,,1,2,,,,,,,,1,1,12/19/18,4,Goodwill,Secondhand,,,shirt,long sleeve,cream/white/tan,,Tops
Tie Dye Mineo LS Shirt,1,,,,,,2,,2,,,,,,,,,,,,,,2/15/2020,35,Andy Mineo,Fast Fashion,Winter Jam,,shirt,long sleeve,multi,,Tops
Forest Green Silk LS Shirt,2,,,,,1,,,1,2,1,2,1,,,,,,,,,,10/18/2019,23,Vince/Poshmark,Secondhand,,,shirt,long sleeve,green,,Tops
Grey Heather LS Shirt,1,,1,1,,2,1,1,1,2,3,1,,1,1,,,,1,1,2,3,1/1/2018,15,Old Navy,Fast Fashion,,,shirt,long sleeve,grey,,Tops
Black Elephant LS Shirt,,,1,,,,,,,,,,,,,,,,,,,,8/11/2020,0,Rachel,Gift,,,shirt,long sleeve,black,,Tops
Black LS Shirt,3,1,,,1,1,,1,3,1,,2,2,2,,,,,,1,1,1,1/1/2017,10,Nordstrom Rack,Fast Fashion,,,shirt,long sleeve,black,,Tops
Black Ribbed LS Shirt,,,,,,,,,,,,,,,,,,,,,,,10/22/2020,10,Plato's Closet,Secondhand,,,shirt,long sleeve,black,,Tops
Black Turtleneck LS Shirt,1,1,,,1,,2,1,1,1,,1,1,,,,,,2,,2,1,12/19/2018,4,Goodwill,Secondhand,,,shirt,long sleeve,black,,Tops
Black Thermal LS Shirt,,2,,,1,,1,,2,1,2,2,2,,,,,,1,,,,1/1/2015,10,Ross/Marshalls,Fast Fashion,,,shirt,long sleeve,black,,Tops
Black Oversized UCF LS Shirt,,,,,,,,,,2,3,1,,,1,,,,,2,1,1,1/1/2017,40,Online,Fast Fashion,,,shirt,long sleeve,black,,Tops
Black/Brown Striped Mockneck MS Shirt,1,,1,,,1,,2,3,,,,,,,,,,,,,,2/8/2020,90,Iridium Apparel,Slow Fashion,Indio,,shirt,long sleeve,black,,Tops
Blush Madewell MS Shirt,1,,1,1,1,1,,,,,,,,1,,,,,2,2,,1,11/1/2018,35,Madewell/Online,Fast Fashion,,,shirt,mid sleeve,pink,,Tops
Green MS Shirt,1,,1,,,,,1,2,1,,,,2,2,1,1,,1,1,1,1,1/1/2015,20,Ross/Marshalls,Fast Fashion,,,shirt,mid sleeve,green,,Tops
Black MS Shirt,1,1,1,2,1,2,1,1,1,3,1,4,2,2,,,,,,,,,9/8/2019,30,Everlane,Fast Fashion,,,shirt,mid sleeve,black,,Tops
Black Cuyana MS Shirt ,1,1,,1,2,1,,2,2,4,1,,,,,,,,,,,,12/24/2019,0,Cuyana,Gift,,,shirt,mid sleeve,black,,Tops
Black Cutout MS Shirt,,,,,,,1,2,1,1,,,,,,,,,,,,,12/23/2019,0,Mom,Hand-me-down,,,shirt,mid sleeve,black,,Tops
White Pocket SS Shirt,,1,,,,,,,,,,,,,,,,,,,,,9/1/2020,22,Pamut Apparel,Slow Fashion,,,shirt,short sleeve,white,,Tops
Black Crewneck SS Shirt,1,1,1,3,3,2,,,,1,2,2,,,,,,,,,,,11/20/2019,0,Cuyana ,Gift,,,shirt ,short sleeve ,black,,Tops
