,Wardrobe Tracking - Start Date 12/9/2018,Wears (11/2020),Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Wears (2018),Total Wears,Acquired,Wears/Month,Cost,Brand,Source,Notes,Repairs/Tailoring,CPW,Category,Subcategory - Length,Today,Date Started,Subcategory - Sleeves,Type
0,Curator Rust CL Skirt,1,,3,,1,1,3,1,1,,1,,,2,,2,5,,,,,,,,21,7/18/2019,1.4,75,Instagram/Curator SF,Secondhand,,7,$3.90,skirt,calf-length maxi,11/11/2020,12/9/2018,,Bottoms
1,Black Midi CL Circle Skirt,,,,,,,,1,3,,,1,2,,,,,,,,,,,,7,11/12/2019,0.64,0,Elegantees ($50),Gift,,,$0.00,skirt,calf-length maxi,11/11/2020,12/9/2018,,Bottoms
2,Grey FL Maxi Skirt,,1,1,,,,,2,,,1,,,,2,2,3,,,,1,2,,,15,1/1/2014,0.65,30,Nordstrom Rack,,,,$2.00,skirt,full-length maxi,11/11/2020,12/9/2018,,Bottoms
3,Pink and Tan Pattern Maxi Skirt,,,,2,,,,,1,,1,,,,,,1,1,,,1,,,,7,7/1/2018,0.3,0,Gift,Gift,,,$0.00,skirt,full-length maxi,11/11/2020,12/9/2018,,Bottoms
4,Light Black Skinny Leg Jeans,,1,,,,3,7,2,12,19,1,,,,,,,,,,,,,,45,1/29/20,5.0,140,Madewell,New,,,$3.11,jeans,skinny leg,11/11/2020,12/9/2018,,Bottoms
5,Black Everlane Skinny Leg Jeans,,1,,,,,,3,3,5,5,11,5,6,4,,,1,,3,9,15,14,,85,1/9/19,3.86,74,Everlane/Online,,,,$0.87,jeans,skinny leg,11/11/2020,12/9/2018,,Bottoms
6,Beige Pleated Pants,,,1,,,,,,,,,,,,,,,,,,,,,,1,9/19/2020,1.0,15,Vintage,Secondhand,,,$15.00,pants,tapered leg,11/11/2020,12/9/2018,,Bottoms
7,Blue Corduroy Pants ,,,,,,,2,,1,5,2,,,,,,,,,,,,,,10,1/29/2020,1.11,68,Madewell,New,,,$6.80,pants,wide leg ,11/11/2020,12/9/2018,,Bottoms
8,Blue Pleated Pants ,,3,1,5,4,2,8,,,,,,,,,,,,,,,,,,23,5/11/2020,3.83,95,Big Bud Press,Slow Fashion,,,$4.13,pants,straight leg,11/11/2020,12/9/2018,,Bottoms
9,Brown Paperbag Pants,,,3,2,2,5,5,,,,,,,,,,,,,,,,,,17,5/22/2020,3.4,77,Athleta,Slow Fashion,,,$4.53,pants,tapered leg,11/11/2020,12/9/2018,,Bottoms
10,Green Wide-leg Pants,,,2,8,3,,,STORAGE ,STORAGE ,STORAGE,STORAGE ,,3,2,5,,,,,,,,,,23,9/20/2019,1.77,30,Poshmark ,Secondhand,,,$1.30,pants,wide leg,11/11/2020,12/9/2018,,Bottoms
11,Black Blockprint Wide-leg Pants,2,3,,,,,,,,,,,,,,,,,,,,,,,5,10/22/2020,5.0,100,Matter Prints,Slow Fashion,,,$20.00,pants,wide leg,11/11/2020,12/9/2018,,Bottoms
12,Light Wash Straight Leg Jeans,2,8,2,3,5,9,,,,,,,,,,,,,,,,,,,29,6/2/2020,5.8,175,Decade Studio,Slow Fashion,,,$6.03,jeans,straight leg,11/11/2020,12/9/2018,,Bottoms
13,Mom Jeans,2,,,,,,,,,,,,,,,,,,,,,,,,2,11/5/2020,2.0,13,Madewell,Fair Trade,,,$6.50,jeans,straight leg,11/11/2020,12/9/2018,,Bottoms
14,Dark Wash Skinny Leg Jeans,,,,,,,,,,,,,,,,,,,,,,,,,0,8/1/2017,0.0,30,Old Navy/Online,,,,$30.00,jeans,skinny leg,11/11/2020,12/9/2018,,Bottoms
15,Light Wash Skinny Leg Jeans,,,,,1,,,,1,,2,1,,,,,,,,,,,,,5,8/1/2017,0.22,30,Old Navy ,,,,$6.00,jeans,skinny leg,11/11/2020,12/9/2018,,Bottoms
16,Black Girlfriend Leggings,,4,3,2,,1,,2,,1,4,5,1,,,,,,1,3,1,2,3,3,36,1/1/2016,1.57,107,Online/Three pairs,Slow Fashion,,,$2.97,leggings,exercise,11/11/2020,12/9/2018,,Bottoms
17,Grey Mesh Reebok Leggings,1,,,,,,,1,,,,,1,,,,,,,,1,,,,4,1/1/2017,0.17,15,Ross/Marshalls,,,,$3.75,leggings,exercise,11/11/2020,12/9/2018,,Bottoms
18,Grey Athleta Leggings,,,,,,,,,,,,,,,,,,,1,2,,,,,3,1/1/2016,0.13,30,Athleta,Slow Fashion,,,$10.00,leggings,exercise,11/11/2020,12/9/2018,,Bottoms
19,Blue Pattern Niyama Sol Leggings,1,,,,,,,,,,,,,,,,,,,1,,,,,2,1/1/2017,0.09,0,Niyama Sol,Gift,,,$0.00,leggings,exercise,11/11/2020,12/9/2018,,Bottoms
20,Black and Blue Adidas Leggings,,,,,,,,,,,,1,,,,,,,1,1,,,,1,4,1/1/2017,0.17,20,Ross/Marshalls,,,,$5.00,leggings,exercise,11/11/2020,12/9/2018,,Bottoms
21,Black Winter Leggings,3,3,3,,1,,1,4,,8,5,2,,,,,,,,,,,,,30,12/5/2019,2.73,106,Athleta,Slow Fashion,,,$3.53,leggings,exercise,11/11/2020,12/9/2018,,Bottoms
22,Denim Shorts,,,,,,,,,,,,,,,,,,,1,,,,,,1,1/1/2016,0.04,10,Goodwill,Secondhand,,,$10.00,shorts,straight leg,11/11/2020,12/9/2018,,Bottoms
23,Grey KL Pencil Skirt,,,,,,,,STORAGE,,,,,2,1,3,1,,,2,,,,,,9,8/1/2017,0.39,20,Old Navy,,,,$2.22,skirt,knee-length pencil,11/11/2020,12/9/2018,,Bottoms
24,Black KL Pencil Skirt,,,,,,,,STORAGE,,,,,,,,,,,,,,,,,0,10/15/2019,0.0,13,Eileen Fisher/Poshmark,Secondhand,,,$13.00,skirt,knee-length pencil,11/11/2020,12/9/2018,,Bottoms
25,Green Skinny Leg Pants,,1,,,,,,STORAGE ,STORAGE ,STORAGE,2,2,6,4,,3,2,5,6,6,6,2,8,1,54,11/1/2018,2.35,18,Old Navy/Online,,,,$0.33,jeans,skinny leg,11/11/2020,12/9/2018,,Bottoms
26,Black Skinny Leg Jeans,,,,,,,,STORAGE ,STORAGE ,STORAGE,1,2,3,2,7,6,6,4,1,2,1,5,2,11,53,10/1/2018,2.3,25,Old Navy/Online,,,,$0.47,jeans,skinny leg,11/11/2020,12/9/2018,,Bottoms
27,Black Ponte Stretch Pants,,1,,,,,,STORAGE ,STORAGE ,STORAGE,STORAGE,,,1,5,6,1,1,2,5,5,2,2,,31,1/9/19,1.41,50,Everlane/Online,Slow fashion,,,$1.61,pants,skinny leg,11/11/2020,12/9/2018,,Bottoms
