,Wardrobe Tracking - Start Date 12/9/2018,Wears (11/2020),Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Wears (2018),Total Wears,Acquired,Wears/Month,Cost,Brand,Source,Notes,Repairs/Tailoring,CPW,,Category,Subcategory - Length,Subcategory - Sleeves,Today,Date Started,Type
0,Blue and Yellow Jumpsuit,,1,1,3,,1,,,,,,,,,,,,,,,,,,,6,6/26/2020,1.5,95,Matter Prints,Slow Fashion,,,$15.83,,jumpsuit,full length,sleeveless,11/11/2020,12/9/2018,Dresses
1,White Slip SL KL Dress,,,1,1,,1,1,1,,,,,,1,3,,,,,,,,,,9,9/10/2019,0.64,44,Eileen Fisher,Slow Fashion,,,$4.89,,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
2,Blue and White Polka Dot SL KL Dress,,,,,1,,,1,,,,,,,,,,,,,,,,,2,8/1/2018,0.09,0,Mom,Hand-me-down,,,$0.00,FL = Full Length,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
3,"Multicolor (orange, white, blue) SL KL Dress",,,,1,,,,1,,,,,,,,1,,1,,,,,,,4,2/1/2018,0.17,25,SteinMart,,,,$6.25,,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
4,Black High-low SL KL Dress,,,,1,,,1,1,3,,1,,,,,,,,,,,,,,7,10/6/2019,0.54,0,Mom,Hand-me-down,,,$0.00,,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
5,Black and White Stripe Linen SL KL Dress,,1,,1,2,2,2,3,2,1,,,,,,,,,,,,,,,14,2/22/2020,1.75,45,OffOn Linen,Secondhand,,,$3.21,,dress,knee length,short sleeve,11/11/2020,12/9/2018,Dresses
6,Blue Asymmetrical Sleeve SL KL Dress,,1,,1,2,,1,,,,,,,,,,,,,,,,,,5,5/7/2020,0.83,106,Tiny Closet,Slow Fashion,,,$21.20,,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
7,Blue MS Midi Dress,,1,1,,,,,,,,,,,,,,,,,,,,,,2,8/10/2020,0.67,4,Rachel,Hand-me-down,,,$2.00,,dress,midi,mid sleeve,11/11/2020,12/9/2018,Dresses
8,Tan Synergy MS KL Dress,,,1,,2,,,1,STORAGE ,STORAGE,2,,,,,1,1,2,2,,,1,,2,15,10/1/2018,0.65,50,Online,Slow Fashion,,,$3.33,,dress,knee length,mid sleeve,11/11/2020,12/9/2018,Dresses
9,Blue and White Striped SL FL Dress,,,,,,,,STORAGE ,STORAGE ,STORAGE,,,,,,,,,1,,,,,,1,1/1/2017,0.04,30,Ross/Marshalls,,,,$30.00,,dress,knee length,mid sleeve,11/11/2020,12/9/2018,Dresses
10,Black Lace SL FL Dress,,,,,,,,,,,,,,,,,,,,,,,,,0,1/1/2014,0.0,30,Forever 21,,,,$30.00,,dress,knee length,mid sleeve,11/11/2020,12/9/2018,Dresses
11,Black OddBird SL FL Dress ,,,,,,,,,1,,,,,,1,,,1,2,1,1,,,2,9,12/15/18,0.41,0,OddBird $70,Gift,,,$0.00,,dress,full length,sleeveless,11/11/2020,12/9/2018,Dresses
12,Black Skeleton SL FL Dress,,,,,,,,1,,,,,,1,,,1,,,,,,,1,4,1/1/2013,0.17,50,Hot Topic,,,14,$16.00,,dress,full length,sleeveless,11/11/2020,12/9/2018,Dresses
13,Red SL KL Dress,,,,,,,,,,,,,,,,,,,,,,,,,0,1/1/2017,0.0,0,Mom,Hand-me-down,,,$0.00,SL = Sleeveless,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
14,Cream and Gold Pattern SL KL Dress,,,,,,,,,,,,,,,,,,,,,1,,,,1,1/1/2016,0.04,0,Mom,Hand-me-down,,,$0.00,,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
15,Black Lace Collar SL KL Dress,,,,,,,,,,,,,,,,,,,,1,,,,,1,1/1/2016,0.04,40,Ross/Marshalls,,,,$40.00,SS = Short Sleeve,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
16,Black WhiteHouseBlackMarket SL KL Dress,,,,,,,,,,,,,,,,,,,,1,,,,,1,1/1/2015,0.04,30,Thrift Store,Secondhand,,,$30.00,MS = Mid Sleeve,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
17,Gold Fringe SL KL Dress,,,1,,,,,,,,,,,,,,,,,,,,,,1,12/19/2019,0.1,6,Goodwill,Secondhand,,,$6.00,,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
18,Blue and White Floral SL KL Dress,,,,,,,,STORAGE,,,,,,,,,,,,,,,,,0,1/1/2016,0.0,30,Macy's ,,,,$30.00,LS = Long Sleeve,dress,knee length,sleeveless,11/11/2020,12/9/2018,Dresses
19,Blue Synergy SS KL Dress,,,,,,,,STORAGE ,STORAGE ,STORAGE,,,,,,2,,3,2,2,,,,,9,10/1/2018,0.39,46,Online,Slow Fashion,,,$5.11,,dress,knee length,short sleeve,11/11/2020,12/9/2018,Dresses
20,Black and White Fern MS KL Dress,,,,,,,,STORAGE ,STORAGE ,STORAGE,,,,,1,1,,1,,,,,,1,4,12/15/2018,0.18,0,Gift,Gift,,,$0.00,,dress,knee length,mid sleeve,11/11/2020,12/9/2018,Dresses
21,White Lace LS KL Dress,,,1,,,,,STORAGE ,,,,,,,,,,,,1,,,,,2,8/1/2018,0.09,0,Rachel,Secondhand,,,$0.00,,dress,knee length,mid sleeve,11/11/2020,12/9/2018,Dresses
22,Blue and White Striped SL FL Dress,,,,,,,,STORAGE ,STORAGE ,STORAGE,,,,,,,,,1,,,,,,1,1/1/2017,0.04,30,Ross/Marshalls,Hand-me-down,,,$30.00,,dress,knee length,mid sleeve,11/11/2020,12/9/2018,Dresses
23,Black Lace Vince SL KL Dress,,,,,,,,STORAGE,,,,,,,,,,,,,,,,,0,12/19/2019,0.0,33,Fifi's Consignment,Secondhand,,,$33.00,,dress,knee length,,11/11/2020,12/9/2018,Dresses
