,Wardrobe Tracking - Start Date 12/9/2018,Wears (11/2020),Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Wears (2018),Total Wears,Acquired,Wears/Month,Cost,Brand,Source,Notes,Repairs/Tailoring,CPW,Category,Subcategory - Sleeves,Today,Start Date,Subcategory - Length,Type
0,Blue Pullover Sweater,,,,,,,,1,,2,,,,,1,,,,,,,1,,,5,12/1/2017,0.22,0,Brian,Hand-me-down,,,$0.00,sweater,long sleeve,11/11/2020,12/9/2018,,Outerwear
1,Beige Cable Knit Sweater,3,2,,,,,,,,,,,,,,,,,,,,,,,5,10/22/2020,5.0,10,Plato's Closet,Secondhand,,,$2.00,sweater,long sleeve,11/11/2020,12/9/2018,,Outerwear
2,Cream Knit Crop Sweater,1,3,1,,,,,,,,2,,1,2,,,,,,,1,,1,,12,12/1/2014,0.52,10,Nordstrom Rack,,,,$0.83,sweater,long sleeve,11/11/2020,12/9/2018,,Outerwear
3,Purple and Orange Mockneck Sweater,1,5,,,,,,,,,,,,,,,,,,,,,,,6,10/22/2020,6.0,10,Plato's Closet,Secondhand,,,$1.67,sweater,long sleeve,11/11/2020,12/9/2018,,Outerwear
4,Cream Cardigan,,,1,,,,2,2,4,3,6,2,,,,,,,,,,,,,20,11/28/2019,1.82,39,Synergy Organic,Slow Fashion,,,$1.95,cardigan ,long sleeve,11/11/2020,12/9/2018,,Outerwear
5,Pink and Red Reversible Haori,1,,2,2,2,1,,,,,,,,,,,,,,,,,,,8,6/26/2020,2.0,75,Matter Prints,Slow Fashion,,,$9.38,cardigan,mid sleeve,11/11/2020,12/9/2018,,Outerwear
6,Grey Cardigan,,1,1,,,,1,,1,5,2,5,14,2,,,,,,,,,,,32,10/28/2019,2.67,42,TheRealReal/Theory,Secondhand,,,$1.31,cardigan,long sleeve,11/11/2020,12/9/2018,,Outerwear
7,Grey Heather Blazer Sweater,,,,,,,,,,1,1,1,5,4,,,,,,2,2,1,1,1,19,5/14/2016,0.83,0,Express,Gift,,,$0.00,sweater,long sleeve,11/11/2020,12/9/2018,,Outerwear
8,Tapestry Jacket,,1,2,,,,,,,,,,,,,,,,,,,,,,3,9/4/20,1.5,16,Rumors,Secondhand,,,$5.33,coat/jacket,long sleeve,11/11/2020,12/9/2018,,Outerwear
9,Black Blazer,,,,,,,1,1,1,3,4,5,,,,,,,,,,,,,15,12/5/19,1.36,103,Athleta,Slow Fashion,,,$6.87,blazer,long sleeve,11/11/2020,12/9/2018,,Outerwear
10,Black Pleather and Mesh Blazer ,,1,,,,,,,,,,,,,,,,,,,,,,,1,8/10/20,0.33,3,Rachel ,Secondhand ,,,$3.00,blazer,long sleeve,11/11/2020,12/9/2018,,Outerwear
11,Blue Quilted Blazer,,,,,1,,,1,,1,2,,,,,,,,,,,,,,5,12/28/19,0.5,0,TheRealReal/Sandro,Secondhand,,,$0.00,blazer ,long sleeve,11/11/2020,12/9/2018,,Outerwear
12,Striped Waterfall Blazer,,,,2,,,,,,,,,,,,,,,,,,,,,2,8/25/20,1.0,20,Instagram - H&M,Second ,,,$10.00,blazer ,long sleeve ,11/11/2020,12/9/2018,,Outerwear
13,White Blazer,,1,,,,,,,,1,,,,,,,,,,2,,,,,4,7/1/17,0.17,50,Nordstrom Rack,,,,$12.50,blazer,mid sleeve,11/11/2020,12/9/2018,,Outerwear
14,Black Blazer Sweater,,1,,,,1,3,,3,2,3,1,2,5,8,2,2,,,6,11,6,3,,59,12/23/18,2.68,43,Nordstrom Rack,,,,$0.73,sweater,mid sleeve,11/11/2020,12/9/2018,,Outerwear
15,Grey Oversized Poncho Sweater,,2,1,,,,1,,2,1,1,,,2,,,,,,,2,,2,,14,1/1/2016,0.61,15,Modcloth/Online,,,,$1.07,sweater,mid sleeve,11/11/2020,12/9/2018,,Outerwear
16,Grey Cashmere Crop Sweater,,1,1,,,,,,1,,5,1,2,2,,,,,,,,,1,,14,8/1/2018,0.61,0,Rachel,Hand-me-down,,,$0.00,sweater,mid sleeve,11/11/2020,12/9/2018,,Outerwear
17,Black Striped Osei-Duro Coat,,3,3,,,1,,,9,5,7,3,16,1,,,,,,,,,,,48,10/28/2019,4.0,58,TheRealReal/Osei-Duro,Secondhand,,,$1.21,coat/jacket,long sleeve,11/11/2020,12/9/2018,,Outerwear
18,Black Silky Coat,,,,,,1,2,,1,,,2,,,,,,,,,,,,,6,12/23/2019,0.6,11,Goodwill,Secondhand,,,$1.83,coat/jacket,long sleeve,11/11/2020,12/9/2018,,Outerwear
19,Green Trenchcoat,,1,,,,,,,,,4,1,,,,,,,,,,,,,6,12/23/2019,0.6,11,Goodwill,Secondhand,,,$1.83,coat/jacket,long sleeve,11/11/2020,12/9/2018,,Outerwear
20,Black London Fog Coat,,,,,,,,,3,10,6,6,4,,,,,,,3,15,20,14,7,88,2/1/2018,3.83,70,SteinMart,,,,$0.80,coat/jacket,long sleeve,11/11/2020,12/9/2018,,Outerwear
21,Grey Puffer Coat,,,,,,,,,1,9,9,11,3,,,,,,,,1,2,10,1,47,2/1/2018,2.04,70,SteinMart,,,,$1.49,coat/jacket,long sleeve,11/11/2020,12/9/2018,,Outerwear
22,Peru Alpaca Sweater,,,,,,,,STORAGE,,,,,,,,,,,,,,,,,0,12/27/2019,0.0,0,Poppee,Secondhand,,,$0.00,sweater,long sleeve,11/11/2020,12/9/2018,,Outerwear
23,Ugly Christmas Sweater,,,,,,,,STORAGE,STORAGE ,STORAGE,STORAGE,1,,,,,,,,,,,,1,2,12/1/2018,0.09,20,Target,,,,$10.00,sweater,long sleeve,11/11/2020,12/9/2018,,Outerwear
24,Brown Leather Jacket,,,,,,,,STORAGE ,STORAGE ,STORAGE,STORAGE,,,1,1,,,,,,1,1,,,4,1/1/2014,0.17,30,Goodwill,Secondhand,,,$7.50,coat/jacket,long sleeve,11/11/2020,12/9/2018,,Outerwear
25,Red Hilfiger Coat,,,,,,,,STORAGE ,STORAGE ,STORAGE,1,,,1,,,,,,,1,1,,,4,1/1/2013,0.17,50,Macy's,,,,$12.50,coat/jacket,long sleeve,11/11/2020,12/9/2018,,Outerwear
