,Wardrobe Tracking - Start Date 12/9/2018,Wears (11/2020),Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Wears (2018),Total Wears,Acquired,Wears/Month,Cost,Brand,Source,Notes,Repairs/Tailoring,CPW,Category,Today,Date Started,Subcategory - Sleeves,Subcategory - Length,Type
0,Black Leather Open-Toed Sandals,,1,,2,7,1,,,,,1,1,,,,,,,,,,,,,13,10/5/2019,1.0,18,Nordstrom Rack ,,,,$1.38,sandals,11/11/2020,12/9/2018,,,Shoes
1,Brown Leather Trevi Flats,,,1,3,1,1,5,,3,,,,,,,,,,,,,,,,14,3/21/2020,2.0,108,Crupon,Slow Fashion ,,,$7.71,flats,11/11/2020,12/9/2018,,,Shoes
2,Black Leather Iris Loafers,,,1,3,2,2,2,6,6,,,,,,,,,,,,,,,,22,3/21/2020,3.14,94,Crupon,Slow Fashion,,,$4.27,flats,11/11/2020,12/9/2018,,,Shoes
3,Blue Leather Sneakers,1,2,3,4,1,3,,1,1,1,8,8,12,9,,,,,,,,,,,54,10/9/2019,4.15,105,Vivobarefoot/Online,Slow Fashion,,,$1.94,sneakers,11/11/2020,12/9/2018,,,Shoes
4,White Tennis Sneakers,1,1,1,3,5,1,12,3,9,2,,,,,,,,,,,,,,,38,2/17/2020,4.75,120,Vivobarefoot/Online,Slow Fashion,,,$3.16,sneakers,11/11/2020,12/9/2018,,,Shoes
5,Brown Leather Chukka Boots,,,,,,,1,,,6,6,3,8,14,4,12,,,,,,,,,54,8/1/2019,3.6,110,Vivobarefoot/Online,Slow Fashion,,,$2.04,boots,11/11/2020,12/9/2018,,,Shoes
6,Black Lace-up Boots,,,,,,,,1,1,6,13,1,,,,,,,,,,,,,22,12/30/2019,2.2,198,Drifter Leather,Slow Fashion,,,$9.00,boots,11/11/2020,12/9/2018,,,Shoes
7,Black Leather Combat Boots,2,4,2,,,,,1,,5,1,7,9,7,10,,,,,3,14,1,16,6,88,1/1/2015,3.83,80,Rack Room/DSW,,,94,$1.98,boots,11/11/2020,12/9/2018,,,Shoes
8,Brown Leather Hiking Boots,,5,1,,,1,,2,4,13,11,8,,,,,,,,,,,,,45,12/2/2019,4.09,112,Lems Shoes,Slow Fashion,,,$2.49,boots,11/11/2020,12/9/2018,,,Shoes
9,Brown Leather Combat Boots,,,,,,,,,,,,1,2,2,,,,,,,,18,10,,33,1/1/2015,1.43,80,Rack Room/DSW,,,,$2.42,boots,11/11/2020,12/9/2018,,,Shoes
10,Blush Suede Flats,,,,,,,,,,,,,,,,,1,,,,,,,,1,1/1/2018,0.04,30,SteinMart,,,,$30.00,flats,11/11/2020,12/9/2018,,,Shoes
11,Grey Suede Wedge Heels,,,,,,,,,,,,,,,,,,,4,,,,,1,5,1/1/2018,0.22,50,Rack Room/DSW,,,,$10.00,heels,11/11/2020,12/9/2018,,,Shoes
12,Brown Leather Oxford Heels,,,,,,,,,,,,,,,,,,,,1,,,,,1,1/1/2015,0.04,0,Gift,Gift,,,$0.00,heels,11/11/2020,12/9/2018,,,Shoes
13,Black Suede Wedge Heels (Toms),,,,,,,,,,,,2,,,2,,,1,,1,,1,,1,8,1/1/2015,0.35,70,Online,,,,$8.75,heels,11/11/2020,12/9/2018,,,Shoes
14,Black Knee High Heeled Boots,,,,,,,,,,,,,,1,,,,,,,,,1,,2,1/1/2014,0.09,100,Nordstrom Rack,,,,$50.00,boots,11/11/2020,12/9/2018,,,Shoes
15,Black Tennis Shoes,,1,,,2,,,,,1,,1,1,,,,,,,,,,,,6,11/25/2019,0.55,59,Xero Shoes,,,,$9.83,sneakers,11/11/2020,12/9/2018,,,Shoes
16,Black Suede Knee High Boots,,,,,,,,,,,2,2,1,,,,,,,,,,,,5,1/1/2014,0.22,80,Sears,,,,$16.00,boots,11/11/2020,12/9/2018,,,Shoes
17,Black Leather Sandals,,,,,,,,,,,,,,3,10,9,8,11,16,10,3,5,1,4,80,5/1/2018,3.48,50,Rack Room/DSW,,,,$0.63,sandals,11/11/2020,12/9/2018,,,Shoes
18,Brown Clarks Flipflops,,,,,,,,1,,,,,,,,2,,,,,,,,,3,1/1/2013,0.13,50,Clarks,,,,$16.67,sandals,11/11/2020,12/9/2018,,,Shoes
19,New Balance Sneakers,,,,,,,,,,,,,,,1,,,,1,,,1,,,3,1/1/2018,0.13,50,New Balance,,,,$16.67,sneakers,11/11/2020,12/9/2018,,,Shoes
20,Vibrams Toe Shoes ,,,,,1,,,,,,,,,,,,,,,,,2,,,3,12/9/2018,0.13,50,Online,,,,$16.67,sneakers,11/11/2020,12/9/2018,,,Shoes
