,Wardrobe Tracking - Start Date 12/9/2018,Wears (11/2020),Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Wears (2018),Total Wears,Acquired,Wears/Month,Cost,Brand,Source,Notes,Repairs/Tailoring,CPW,Category,Subcategory - Sleeves,Color,Today,Start Date,Subcategory - Length,Type
0,Brian's White Buttonup LS Shirt,,2,1,2,,,,,,,,,,,,,,,,,,,,,5,8/9/20,1.67,0,Brian,Secondhand ,,,$0.00,shirt,long sleeve,cream/white/tan,11/11/2020,12/9/2018,,Tops
1,Cream Turtleneck LS Shirt,,1,1,,,STORAGE,1,1,,1,2,,1,2,,,,,,,,1,1,,12,12/19/18,0.55,4,Goodwill,Secondhand,,,$0.35,shirt,long sleeve,cream/white/tan,11/11/2020,12/9/2018,,Tops
2,Tie Dye Mineo LS Shirt,,1,,,,,,2,,2,,,,,,,,,,,,,,,5,2/15/2020,0.63,35,Andy Mineo,,Winter Jam,,$7.00,shirt,long sleeve,multi,11/11/2020,12/9/2018,,Tops
3,Forest Green Silk LS Shirt,,2,,,,,1,,,1,2,1,2,1,,,,,,,,,,,10,10/18/2019,0.83,23,Vince/Poshmark,Secondhand,,,$2.30,shirt,long sleeve,green,11/11/2020,12/9/2018,,Tops
4,Grey Heather LS Shirt,,1,,1,1,,2,1,1,1,2,3,1,,1,1,,,,1,1,2,3,,23,1/1/2018,1.0,15,Old Navy,,,,$0.65,shirt,long sleeve,grey,11/11/2020,12/9/2018,,Tops
5,Black Elephant LS Shirt,1,,,1,,,,,,,,,,,,,,,,,,,,,2,8/11/2020,0.67,0,Rachel,Gift,,,$0.00,shirt,long sleeve,black,11/11/2020,12/9/2018,,Tops
6,Black LS Shirt,,3,1,,,1,1,,1,3,1,,2,2,2,,,,,,1,1,1,,20,1/1/2017,0.87,10,Nordstrom Rack,,,,$0.50,shirt,long sleeve,black,11/11/2020,12/9/2018,,Tops
7,Black Ribbed LS Shirt,2,,,,,,,,,,,,,,,,,,,,,,,,2,10/22/2020,2.0,10,Plato's Closet,Secondhand,,,$5.00,shirt,long sleeve,black,11/11/2020,12/9/2018,,Tops
8,Black Turtleneck LS Shirt,,1,1,,,1,,2,1,1,1,,1,1,,,,,,2,,2,1,,15,12/19/2018,0.68,4,Goodwill,Secondhand,,,$0.28,shirt,long sleeve,black,11/11/2020,12/9/2018,,Tops
9,Black Thermal LS Shirt,,,2,,,1,,1,,2,1,2,2,2,,,,,,1,,,,1,15,1/1/2015,0.65,10,Ross/Marshalls,,,,$0.67,shirt,long sleeve,black,11/11/2020,12/9/2018,,Tops
