Item,Total Wears,Cost per Wear,Wears per Month,Date Acquired,Cost,Source,Repairs/Tailoring,Color,Type,Category,Subcategory - Sleeves,Subcategory - Length,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019)
Brian's White Buttonup LS Shirt,5.0,0.0,1.8072289156626506,2020-08-09,0,Secondhand,0.0,cream/white/tan,Tops,shirt,long sleeve,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cream Turtleneck LS Shirt,12.0,0.3333333333333333,0.5381165919282511,2018-12-19,4,Secondhand,0.0,cream/white/tan,Tops,shirt,long sleeve,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Tie Dye Mineo LS Shirt,5.0,7.0,0.5791505791505792,2020-02-15,35,Fast Fashion,0.0,multi,Tops,shirt,long sleeve,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest Green Silk LS Shirt,10.0,2.3,0.79155672823219,2019-10-18,23,Secondhand,0.0,green,Tops,shirt,long sleeve,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey Heather LS Shirt,23.0,0.6521739130434783,1.0313901345291479,2018-01-01,15,Fast Fashion,0.0,grey,Tops,shirt,long sleeve,,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0
Black Elephant LS Shirt,1.0,0.0,0.37037037037037035,2020-08-11,0,Gift,0.0,black,Tops,shirt,long sleeve,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black LS Shirt,20.0,0.5,0.8968609865470851,2017-01-01,10,Fast Fashion,0.0,black,Tops,shirt,long sleeve,,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Black Ribbed LS Shirt,0.0,0.0,0.0,2020-10-22,10,Secondhand,0.0,black,Tops,shirt,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Turtleneck LS Shirt,15.0,0.26666666666666666,0.6726457399103138,2018-12-19,4,Secondhand,0.0,black,Tops,shirt,long sleeve,,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
Black Thermal LS Shirt,14.0,0.7142857142857143,0.6278026905829596,2015-01-01,10,Fast Fashion,0.0,black,Tops,shirt,long sleeve,,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Black Oversized UCF LS Shirt,11.0,3.6363636363636362,0.49327354260089684,2017-01-01,40,Fast Fashion,0.0,black,Tops,shirt,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
Black/Brown Striped Mockneck MS Shirt,8.0,11.25,0.9022556390977443,2020-02-08,90,Slow Fashion,0.0,black,Tops,shirt,long sleeve,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blush Madewell MS Shirt,11.0,3.1818181818181817,0.49327354260089684,2018-11-01,35,Fast Fashion,0.0,pink,Tops,shirt,mid sleeve,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
Green MS Shirt,16.0,1.25,0.7174887892376681,2015-01-01,20,Fast Fashion,0.0,green,Tops,shirt,mid sleeve,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
