,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Total Wears,Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
0,Brian's White Buttonup LS Shirt,2,1,2,,,,,,,,,,,,,,,,,,,,5,8/9/20,0,Brian,Secondhand ,,shirt,long sleeve,cream/white/tan,,Tops
1,Cream Turtleneck LS Shirt,1,1,,,STORAGE,1,1,,1,2,,1,2,,,,,,,,1,1,12,12/19/18,4,Goodwill,Secondhand,,shirt,long sleeve,cream/white/tan,,Tops
2,Tie Dye Mineo LS Shirt,1,,,,,,2,,2,,,,,,,,,,,,,,5,2/15/2020,35,Andy Mineo,Winter Jam,,shirt,long sleeve,multi,,Tops
3,Forest Green Silk LS Shirt,2,,,,,1,,,1,2,1,2,1,,,,,,,,,,10,10/18/2019,23,Vince/Poshmark,Secondhand,,shirt,long sleeve,green,,Tops
4,Grey Heather LS Shirt,1,,1,1,,2,1,1,1,2,3,1,,1,1,,,,1,1,2,3,23,1/1/2018,15,Old Navy,,,shirt,long sleeve,grey,,Tops
5,Black Elephant LS Shirt,,,1,,,,,,,,,,,,,,,,,,,,2,8/11/2020,0,Rachel,Gift,,shirt,long sleeve,black,,Tops
6,Black LS Shirt,3,1,,,1,1,,1,3,1,,2,2,2,,,,,,1,1,1,20,1/1/2017,10,Nordstrom Rack,,,shirt,long sleeve,black,,Tops
7,Black Ribbed LS Shirt,,,,,,,,,,,,,,,,,,,,,,,2,10/22/2020,10,Plato's Closet,Secondhand,,shirt,long sleeve,black,,Tops
8,Black Turtleneck LS Shirt,1,1,,,1,,2,1,1,1,,1,1,,,,,,2,,2,1,15,12/19/2018,4,Goodwill,Secondhand,,shirt,long sleeve,black,,Tops
9,Black Thermal LS Shirt,,2,,,1,,1,,2,1,2,2,2,,,,,,1,,,,15,1/1/2015,10,Ross/Marshalls,,,shirt,long sleeve,black,,Tops
10,Black Oversized UCF LS Shirt,,,,,,,,,,2,3,1,,,1,,,,,2,1,1,11,1/1/2017,40,Online,,,shirt,long sleeve,black,,Tops
11,Black/Brown Striped Mockneck MS Shirt,1,,1,,,1,,2,3,,,,,,,,,,,,,,8,2/8/2020,90,Iridium Apparel,Indio,,shirt,long sleeve,black,,Tops
12,Blush Madewell MS Shirt,1,,1,1,1,1,STORAGE,STORAGE ,STORAGE,STORAGE,STORAGE,STORAGE,STORAGE,1,,,,,2,2,,1,11,11/1/2018,35,Madewell/Online,,,shirt,mid sleeve,pink,,Tops
13,Green MS Shirt,1,,1,,,,,1,2,1,,,,2,2,1,1,,1,1,1,1,16,1/1/2015,20,Ross/Marshalls,,,shirt,mid sleeve,green,,Tops
14,Black MS Shirt,1,1,1,2,1,2,1,1,1,3,1,4,2,2,,,,,,,,,23,9/8/2019,30,Everlane,,,shirt,mid sleeve,black,,Tops
15,Black Cuyana MS Shirt ,1,1,,1,2,1,,2,2,4,1,,,,,,,,,,,,15,12/24/2019,0,Cuyana,Gift,,shirt,mid sleeve,black,,Tops
16,Black Cutout MS Shirt,,,,STORAGE,STORAGE,,1,2,1,1,,,,,,,,,,,,,5,12/23/2019,0,Mom,Hand-me-down,,shirt,mid sleeve,black,,Tops
17,White Pocket SS Shirt,,1,,,,,,,,,,,,,,,,,,,,,2,9/1/2020,22,Pamut Apparel,Slow Fashion,,shirt,short sleeve,white,,Tops
