Item,Total Wears,Cost per Wear,Wears per Month,Date Acquired,Cost,Source,Repairs/Tailoring,Color,Type,Category,Subcategory - Sleeves,Subcategory - Length,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019)
Brian's White Buttonup LS Shirt,5,0.0,1.5957446808510638,2020-08-09,0,Secondhand ,0,cream/white/tan,Tops,shirt,long sleeve,,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cream Turtleneck LS Shirt,12,0.3333333333333333,0.5194805194805194,2018-12-19,4,Secondhand,0,cream/white/tan,Tops,shirt,long sleeve,,1,1,0,0,0,1,1,0,1,2,0,1,2,0,0,0,0,0,0,0,1,1
Tie Dye Mineo LS Shirt,5,7.0,0.5555555555555556,2020-02-15,35,0,0,multi,Tops,shirt,long sleeve,,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest Green Silk LS Shirt,10,2.3,0.7692307692307693,2019-10-18,23,Secondhand,0,green,Tops,shirt,long sleeve,,2,0,0,0,0,1,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0
Grey Heather LS Shirt,23,0.6521739130434783,0.6602870813397129,2018-01-01,15,0,0,grey,Tops,shirt,long sleeve,,1,0,1,1,0,2,1,1,1,2,3,1,0,1,1,0,0,0,1,1,2,3
Black Elephant LS Shirt,1,0.0,0.32608695652173914,2020-08-11,0,Gift,0,black,Tops,shirt,long sleeve,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black LS Shirt,20,0.5,0.425531914893617,2017-01-01,10,0,0,black,Tops,shirt,long sleeve,,3,1,0,0,1,1,0,1,3,1,0,2,2,2,0,0,0,0,0,1,1,1
Black Ribbed LS Shirt,0,inf,0.0,2020-10-22,10,Secondhand,0,black,Tops,shirt,long sleeve,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Turtleneck LS Shirt,15,0.26666666666666666,0.6493506493506493,2018-12-19,4,Secondhand,0,black,Tops,shirt,long sleeve,,1,1,0,0,1,0,2,1,1,1,0,1,1,0,0,0,0,0,2,0,2,1
Black Thermal LS Shirt,14,0.7142857142857143,0.19617001401214387,2015-01-01,10,0,0,black,Tops,shirt,long sleeve,,0,2,0,0,1,0,1,0,2,1,2,2,2,0,0,0,0,0,1,0,0,0
Black Oversized UCF LS Shirt,11,3.6363636363636362,0.23404255319148937,2017-01-01,40,0,0,black,Tops,shirt,long sleeve,,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,2,1,1
Black/Brown Striped Mockneck MS Shirt,8,11.25,0.8664259927797835,2020-02-08,90,Slow Fashion,0,black,Tops,shirt,long sleeve,,1,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
