Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Brian's White Buttonup LS Shirt,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/9/20,0,Brian,Secondhand ,0,shirt,long sleeve,cream/white/tan,,Tops
Cream Turtleneck LS Shirt,1,1,0,0,0,1,1,0,1,2,0,1,2,0,0,0,0,0,0,0,1,1,12/19/18,4,Goodwill,Secondhand,0,shirt,long sleeve,cream/white/tan,,Tops
Tie Dye Mineo LS Shirt,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2/15/2020,35,Andy Mineo,Winter Jam,0,shirt,long sleeve,multi,,Tops
Forest Green Silk LS Shirt,2,0,0,0,0,1,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,10/18/2019,23,Vince/Poshmark,Secondhand,0,shirt,long sleeve,green,,Tops
Grey Heather LS Shirt,1,0,1,1,0,2,1,1,1,2,3,1,0,1,1,0,0,0,1,1,2,3,1/1/2018,15,Old Navy,0,0,shirt,long sleeve,grey,,Tops
Black Elephant LS Shirt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/11/2020,0,Rachel,Gift,0,shirt,long sleeve,black,,Tops
Black LS Shirt,3,1,0,0,1,1,0,1,3,1,0,2,2,2,0,0,0,0,0,1,1,1,1/1/2017,10,Nordstrom Rack,0,0,shirt,long sleeve,black,,Tops
Black Ribbed LS Shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/22/2020,10,Plato's Closet,Secondhand,0,shirt,long sleeve,black,,Tops
Black Turtleneck LS Shirt,1,1,0,0,1,0,2,1,1,1,0,1,1,0,0,0,0,0,2,0,2,1,12/19/2018,4,Goodwill,Secondhand,0,shirt,long sleeve,black,,Tops
Black Thermal LS Shirt,0,2,0,0,1,0,1,0,2,1,2,2,2,0,0,0,0,0,1,0,0,0,1/1/2015,10,Ross/Marshalls,0,0,shirt,long sleeve,black,,Tops
Black Oversized UCF LS Shirt,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,2,1,1,1/1/2017,40,Online,0,0,shirt,long sleeve,black,,Tops
